link|title|author|date|content
https://www.scmp.com/comment/opinion/article/3240007/israel-india-americas-illiberal-allies-are-hurting-its-moral-standing|From Israel to India, America’s illiberal allies are hurting its moral standing|Mohamed Zeeshan|2023-11-04T12:30:08.000Z|Having spent the past several months focusing his foreign policy on Ukraine, US President Joe Biden is watching  another war unfold, this time in Gaza.The new crisis in the Middle East is a stark reminder of the polarised world order and difficult moral choices that have defined Biden’s office. When he became president in 2021, he framed global politics as a  struggle between democracies and autocracies. The key thrust of that message was to find like-minded partners – deemed “democratic” by Washington – to counter America’s major geopolitical rivals, namely China and Russia.Biden also used this rhetoric on democratic values as a response to his predecessor, Donald Trump. As president, Trump had largely dispensed with values-based rhetoric in foreign policy, leading an era of “ America first” isolationism, and praising autocratic leaders from Hungary’s Viktor Orban to Russia’s Vladimir Putin.Biden called on the US to return to a role of moral leadership – to “ prove democracy works” – and strengthen democracy at home and abroad. This, he proposed, would distinguish the US from its rivals. To that end, Biden organised two Summits for Democracy and rallied countries around democratic norms and values.
https://www.scmp.com/news/world/middle-east/article/3240358/israel-gaza-war-un-human-rights-chief-hits-out-global-surge-dehumanising-hatred|Israel-Gaza war: UN human rights chief hits out at global surge in ‘dehumanising’ hatred|Agence France-Presse|2023-11-04T12:07:19.000Z|"The  United Nations human rights chief said on Saturday he was “disgusted” by the “sharp rise in hatred globally” since the war between Hamas and  Israel began on October 7.Volker Turk strongly deplored the surge in cases of antisemitism, Islamophobia and other hate speech, both online and offline.“The impact of this crisis … has sent shock waves across every region, dehumanising both Palestinians and Jews,” Turk said in a statement.
03:05Humanitarian crisis unfolding in Gaza as food supplies run out after total Israeli blockadeHumanitarian crisis unfolding in Gaza as food supplies run out after total Israeli blockade“We have witnessed a sharp spike in hate speech, violence and discrimination, deepening social fractures and polarisation … I have heard from both Jews and Muslims that they don’t feel safe, and it saddens me,” he added."
https://www.scmp.com/news/world/middle-east/article/3240348/israeli-air-strikes-gaza-continue-overnight-amid-humanitarian-crisis-blinken-seeks-support-ceasefire|Israeli air strikes on Gaza continue overnight amid humanitarian crisis as Blinken seeks support for a ceasefire|Agence France-Presse|2023-11-04T09:45:11.000Z|"Fighting raged in Gaza on Saturday for a 29th day since Hamas militants stormed across the Israeli border and, according to Israeli officials, killed 1,400 people, mostly civilians, and abducted more than 240 others.Since then, Israel has relentlessly bombarded the Gaza Strip and sent in ground troops, with the health ministry in the Hamas-run Palestinian territory saying 9,227 people have been killed, two-thirds of them women and children.US Secretary of State Antony Blinken was in Jordan on Saturday for talks with counterparts from five Arab countries, after visiting Israel in his efforts to secure humanitarian “pauses” in the war.


Amman said the foreign ministers of Egypt, Jordan, Qatar, Saudi Arabia and the United Arab Emirates as well as a representative of the Palestinian Authority – led by president Mahmoud Abbas, a rival of Hamas – would meet Blinken about the conflict."
https://www.scmp.com/news/world/middle-east/article/3240327/israels-netanyahu-resists-us-pressure-pause-war-allow-more-aid-gaza-wants-hostages-held-hamas-back|Israel’s Netanyahu resists US pressure to pause war to allow more aid to Gaza, wants hostages held by Hamas back first|Associated Press|2023-11-04T03:28:21.000Z|Israeli Prime Minister Benjamin Netanyahu on Friday pushed back against growing US pressure for a “humanitarian pause” in the nearly month-old war to protect civilians and allow more aid into Gaza, insisting there would be no temporary ceasefire until the roughly 240 hostages held by Hamas are released.US Secretary of State Antony Blinken made his third trip to Israel since the war began, reiterating American support for Israel’s campaign to crush Hamas after its brutal October 7 attack in southern Israel. He also echoed President Joe Biden’s calls for a brief halt in the fighting to address a worsening humanitarian crisis.Alarm has grown over spiralling Palestinian deaths and deepening misery for civilians from weeks of Israeli bombardment and a widening ground assault that risks even greater casualties. Overwhelmed hospitals say they are nearing collapse, with medicine and fuel running low under the Israeli siege. About 1.5 million people in Gaza, or 70 per cent of the population, have fled their homes, the UN said on Friday.US Secretary of State Antony Blinken (left) met Friday with Israeli Prime Minister Benjamin Netanyahu as Israel pressed ahead with its offensive against Hamas in the Gaza Strip. Photo: Handout/XinhuaPalestinians are increasingly desperate for the most basic supplies.
https://www.scmp.com/news/world/middle-east/article/3240315/israel-strikes-ambulance-gaza-city-many-reported-killed|Israel strikes ambulance in Gaza City, many reported killed|Reuters|2023-11-03T20:03:59.000Z|Israel struck an ambulance in Gaza City on Friday that it said was carrying militants, but which health authorities in the Hamas-controlled enclave said was evacuating wounded people from the besieged north to the south of the territory.Ashraf al-Qidra, spokesman for the health ministry in Gaza, said the ambulance was part of a convoy that Israel targeted leaving al-Shifa Hospital, adding that “a big number” were killed and wounded but without giving figures.Qidra said Israel had targeted the convoy of ambulances in more than one location, including at al-Shifa Hospital gate and at Ansar Square a (0.6 miles) away.Israel’s military said it had identified and hit an ambulance “being used by a Hamas terrorist cell” in the battle zone.Palestinians who were wounded after a convoy of ambulances was hit are assisted at al-Shifa hospital in Gaza City on Friday. Photo: ReutersIt said a number of Hamas fighters had been killed in the strike and accused the group of transferring both militants and weapons in ambulances.
https://www.scmp.com/news/world/middle-east/article/3240291/no-income-no-life-jerusalems-old-city-suffers-israel-gaza-war-rages|‘No income, no life’: Jerusalem’s Old City suffers as Israel-Gaza war rages|Agence France-Presse|2023-11-03T15:45:14.000Z|The once bustling streets of Jerusalem’s Old City have fallen eerily quiet, with the ongoing war between Israel and Hamas keeping away tourists and their much-needed cash.In the mazelike warren of shopping streets that surrounds the city’s holy sites, most businesses remained closed, nearly four weeks into the war.The few remaining shopkeepers brave enough to open their stores wait day after day for tourists that have yet to return.“There is no tourism industry any more,” said Marwan Attieh, 48, a third-generation tour guide and souvenir shop owner.
https://www.scmp.com/news/world/middle-east/article/3240308/hezbollah-leader-says-hamas-assault-israel-was-100-cent-palestinian-warns-wider-middle-east-conflict|Hezbollah leader says Hamas assault on Israel was ‘100 per cent Palestinian’, warns of wider Middle East conflict|Reuters|2023-11-03T14:55:44.000Z|Hezbollah leader Sayyed Hassan Nasrallah, speaking for the first time since the Israel-Hamas war erupted, said on Friday that the operation launched by the Hamas militant group against Israel on October 7 was “100 per cent Palestinian”.A formidable military force backed by Iran, Hezbollah has been engaging Israeli forces along the Lebanon-Israel border in the deadliest escalation since it fought a war with Israel in 2006.In his lengthy remarks, Nasrallah praised the Hamas attack four weeks ago in which the militants attacked farming villages and military posts in southern Israel. More than 1,400 people were killed in Israel in the attack.People watch Lebanon’s Hezbollah leader Sayyed Hassan Nasrallah’s speech on Friday while sitting at a cafe in the old city of Tyre, Lebanon. Photo: Reuters“This great, large-scale operation was purely the result of Palestinian planning and implementation,” Nasrallah said, suggesting his militia had no part in the attack. “The great secrecy made this operation greatly successful.”
https://www.scmp.com/news/asia/southeast-asia/article/3240298/thai-muslim-politicians-held-talks-hamas-iran-seeking-hostage-release|Thai Muslim politicians held talks with Hamas in Iran seeking hostage release|Reuters|2023-11-03T13:30:17.000Z|Politicians from  Thailand’s Muslim minority have held talks with Hamas in an effort to secure the release of around a dozen Thai hostages held by the Palestinian Islamist group in Israeli-besieged  Gaza, a former lawmaker said on Friday.At least 23 Thai nationals were among more than 240 people taken captive by Hamas militants when they burst out of Gaza on October 7 and went on a killing and kidnapping spree through southwestern Israeli communities.  Israel responded by relentlessly bombarding the enclave, then invading it.Areepen Uttarasin, a veteran Thai politician and former education minister, said he travelled to the Iranian capital Tehran and met senior Hamas officials there on October 26 for more than two hours.“They told me that the Thai hostages are living comfortably and are out of danger,” Areepen said, declining to name the Hamas officials he met. “I told them that I am here not to negotiate but simply to ask for their release.”Areepen Uttarasin, a veteran Thailand politician and former education minister. Photo: Areepen Utarasint/FacebookThe 23 Thais form the largest group of captives in Gaza from any single foreign country.
https://www.scmp.com/news/world/middle-east/article/3240300/blinken-urges-israel-take-steps-avoid-civilian-casualties-gaza-death-toll-soars|Blinken urges Israel to allow humanitarian pauses as Gaza death toll soars|Reuters|2023-11-03T13:25:19.000Z|US Secretary of State Antony Blinken said he urged Israeli leaders on Friday to allow for humanitarian pauses in their war with Hamas in Gaza to enable aid to enter the Palestinian enclave and help the effort to secure the release of hostages.But in a televised statement a short time later, Israeli Prime Minister Benjamin Netanyahu pushed back on the idea, indicating any deal was far from being struck even though talks on an agreement would continue.Blinken was in the Middle East for a second time in less than a month seeking to balance Washington support for Israel over a deadly October 7 Hamas attack with concern over civilian casualties that have soared under an Israeli bombardment.While the Biden administration has maintained robust support for Israel, its rhetoric has increasingly shifted towards boosting humanitarian aid to Gaza, taking steps to avoid civilian deaths and setting up pauses in the fighting to facilitate work to free more than 240 hostages taken by Hamas.Israeli Prime Minister Benjamin Netanyahu receives US Secretary of State Antony Blinken at the Kirya in Tel Aviv on Friday. Photo: Amos Ben-Gershom/GPO via dpaBlinken said he had discussed with Prime Minister Benjamin Netanyahu and Israel’s war cabinet how, when and where pauses can be implemented and what understandings must be reached. He said Washington recognised this would take time and require coordination from international partners.
https://www.scmp.com/comment/opinion/article/3240143/ukraine-and-gaza-wars-have-put-west-dock-public-opinion|Ukraine and Gaza wars have put the West in the dock of public opinion|Andrew Sheng|2023-11-03T12:30:08.000Z|The images and  news coming out of Gaza are so horrific I cannot think of anything hopeful or constructive that can come of this cataclysm. It feels like a balance has been lost between the West and rest.What is the West? It is a world that essentially comprises the US-led North America, Europe and Australasia, including Japan. It accounts for 63 per cent of the world economy, three-quarters of world trade, over half of global energy consumption and 18 per cent of the world population, if we use the Organisation for Economic Cooperation and Development (OECD) as a crude proxy.The Western world sees itself as a paragon of civilisational progress and modernity, whereas the rest, namely, the East and the Global South, are much more diverse in culture, ethnicity and civilisational identity.Last year, the Ukraine war sharply divided world opinion. The Nato-led Western world united behind Ukraine. The  March 2022 UN resolution demanding that Russia immediately end its invasion of Ukraine was supported by 141 countries.
